,label
881,politics
882,business
883,politics
884,entertainment
885,entertainment
886,business
887,business
888,tech
889,business
890,sport
891,business
892,sport
893,tech
894,tech
895,sport
896,entertainment
897,sport
898,tech
899,entertainment
900,sport
901,sport
902,sport
903,entertainment
904,tech
905,tech
906,business
907,business
908,sport
909,business
910,entertainment
911,politics
912,politics
913,business
914,tech
915,business
916,business
917,sport
918,business
919,entertainment
920,business
921,business
922,entertainment
923,entertainment
924,entertainment
925,politics
926,politics
927,politics
928,tech
929,entertainment
930,politics
931,sport
932,entertainment
933,politics
934,politics
935,politics
936,business
937,tech
938,politics
939,entertainment
940,tech
941,entertainment
942,business
943,sport
944,sport
945,business
946,sport
947,tech
948,entertainment
949,sport
950,entertainment
951,sport
952,business
953,entertainment
954,politics
955,tech
956,sport
957,politics
958,business
959,sport
960,entertainment
961,politics
962,sport
963,tech
964,entertainment
965,sport
966,politics
967,entertainment
968,sport
969,tech
970,sport
971,politics
972,tech
973,politics
974,business
975,business
976,politics
977,sport
978,entertainment
979,business
980,politics
981,tech
982,politics
983,business
984,sport
985,sport
986,sport
987,entertainment
988,tech
989,politics
990,tech
991,sport
992,politics
993,tech
994,sport
995,business
996,entertainment
997,sport
998,politics
999,entertainment
1000,entertainment
1001,sport
1002,entertainment
1003,sport
1004,politics
1005,politics
1006,tech
1007,politics
1008,sport
1009,sport
1010,business
1011,sport
1012,sport
1013,business
1014,sport
1015,entertainment
1016,entertainment
1017,business
1018,politics
1019,politics
1020,tech
1021,business
1022,politics
1023,politics
1024,tech
1025,entertainment
1026,business
1027,politics
1028,sport
1029,sport
1030,politics
1031,business
1032,politics
1033,tech
1034,business
1035,business
1036,business
1037,business
1038,entertainment
1039,sport
1040,politics
1041,tech
1042,business
1043,sport
1044,politics
1045,business
1046,business
1047,business
1048,business
1049,sport
1050,entertainment
1051,tech
1052,business
1053,entertainment
1054,business
1055,entertainment
1056,politics
1057,sport
1058,business
1059,business
1060,sport
1061,tech
1062,business
1063,entertainment
1064,business
1065,business
1066,tech
1067,tech
1068,tech
1069,politics
1070,business
1071,politics
1072,business
1073,sport
1074,business
1075,sport
1076,sport
1077,sport
1078,entertainment
1079,politics
1080,tech
1081,entertainment
1082,politics
1083,entertainment
1084,business
1085,tech
1086,sport
1087,sport
1088,business
1089,tech
1090,tech
1091,tech
1092,tech
1093,politics
1094,business
1095,sport
1096,sport
1097,business
1098,business
1099,sport
1100,entertainment
1101,business
1102,business
1103,politics
1104,business
1105,politics
1106,sport
1107,tech
1108,business
1109,entertainment
1110,business
1111,business
1112,tech
1113,entertainment
1114,business
1115,business
1116,business
1117,business
1118,sport
1119,business
1120,business
1121,business
1122,business
1123,entertainment
1124,sport
1125,politics
1126,tech
1127,tech
1128,politics
1129,tech
1130,business
1131,business
1132,business
1133,politics
1134,politics
1135,tech
1136,sport
1137,entertainment
1138,entertainment
1139,sport
1140,business
1141,entertainment
1142,entertainment
1143,sport
1144,tech
1145,sport
1146,business
1147,politics
1148,sport
1149,tech
1150,business
1151,business
1152,sport
1153,sport
1154,tech
1155,politics
1156,entertainment
1157,sport
1158,tech
1159,sport
1160,sport
1161,entertainment
1162,tech
1163,sport
1164,tech
1165,tech
1166,entertainment
1167,entertainment
1168,business
1169,business
1170,entertainment
1171,entertainment
1172,entertainment
1173,business
1174,business
1175,sport
1176,sport
1177,business
1178,politics
1179,business
1180,entertainment
1181,politics
1182,business
1183,business
1184,entertainment
1185,sport
1186,entertainment
1187,politics
1188,tech
1189,politics
1190,politics
1191,business
